# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"4_ZVt7bOXU","[""3red applee03501.png""]",0,"[]","[7,185.607,127.956,176.327,128.8,169.296,130.769,165.921,132.456,158.047,137.518,152.704,141.736,148.767,145.673,146.236,147.642,143.142,150.454,140.893,153.548,135.831,161.984,134.424,165.359,133.3,169.577,132.456,174.921,131.05,180.264,131.05,184.201,130.206,188.138,129.081,191.231,127.956,194.887,127.113,198.824,126.831,199.949,125.988,203.043,124.3,212.323,123.738,217.104,122.613,221.603,124.3,225.259,126.831,228.353,131.05,231.728,136.393,234.259,145.673,236.79,149.61,236.79,153.548,237.633,159.734,240.727,162.828,242.695,170.421,244.664,175.202,246.914,185.326,247.476,190.107,247.195,192.919,246.632,201.918,238.758,206.136,233.977,217.666,226.384,222.728,222.728,228.072,219.635,232.571,214.01,234.821,209.23,240.727,199.387,247.476,190.388,250.007,185.045,249.726,177.452,248.32,170.421,247.195,164.234,243.539,158.891,238.758,155.516,231.446,154.391,226.103,147.923,224.134,145.111,218.229,140.893,210.917,139.486,203.324,139.486,197.418,139.205,194.887,137.518,191.513,133.862,188.7,129.644]","{}"
"4_cXvYshnO","[""3red applee03501.png""]",0,"[]","[7,242.976,31.497,240.445,30.091,227.79,36.278,217.385,45.558,208.105,53.714,201.355,63.275,199.668,70.868,197.137,80.992,197.418,91.397,199.106,95.616,205.293,104.334,208.386,109.396,214.292,116.145,219.916,123.738,226.947,127.113,233.977,129.081,244.664,130.769,251.976,131.612,266.599,129.081,274.473,129.081,281.504,126.269,287.972,123.457,297.534,110.802,300.627,100.959,303.158,95.053,304.283,86.898,305.127,76.774,303.721,67.212,301.19,55.12,299.221,50.058,293.597,44.714,289.941,40.777,277.848,35.997,273.63,32.341,267.162,29.81,259.287,28.403,249.163,28.122,242.414,30.091]","{}"
"4_OFHiFbDm","[""3red applee03501.png""]",0,"[]","[7,365.59,43.871,356.028,43.871,344.217,46.964,331.562,50.901,325.937,56.807,316.657,62.994,309.064,70.306,306.533,79.305,305.408,87.741,303.721,97.022,301.752,104.615,301.471,108.833,301.471,113.333,303.158,117.551,306.533,124.019,309.907,127.956,315.532,132.737,322.562,137.799,327.062,139.486,332.686,142.017,346.466,145.111,350.403,146.236,356.59,147.079,362.215,147.642,367.558,146.236,372.058,145.111,382.744,140.893,392.587,135.268,394.555,133.018,398.493,127.956,402.43,123.457,405.804,118.114,407.21,108.271,407.21,103.49,406.086,95.334,404.117,86.054,402.711,77.336,402.711,72.274,401.305,68.056,398.211,64.119,395.68,60.744,392.587,57.369,386.4,53.714,381.338,50.901,373.464,46.683,370.089,44.714]","{}"
"4_SxQpPwKK","[""3red applee03501.png""]",0,"[]","[7,295.003,145.955,288.253,149.329,284.035,148.486,279.817,147.361,272.786,149.329,263.787,156.36,259.287,160.578,257.038,164.234,255.069,174.358,253.944,179.42,251.694,191.231,251.694,197.7,251.976,204.168,252.538,214.854,254.507,225.259,255.35,229.759,257.319,235.102,263.787,242.414,267.724,247.757,272.786,251.694,278.129,255.069,283.191,257.6,289.659,259.85,294.44,260.693,299.783,261.256,305.689,262.1,314.126,263.224,317.5,263.506,322.281,262.662,328.187,259.287,341.123,252.538,343.935,249.726,345.904,243.82,346.748,238.758,347.029,234.259,353.216,226.384,357.715,223.572,361.09,218.791,360.528,212.604,359.121,206.417,352.653,195.731,348.435,188.982,345.341,183.357,340.279,176.327,333.811,167.89,325.937,160.297,322,156.36,318.344,152.423,311.032,151.017,301.752,148.204,299.221,147.361,293.597,145.111]","{}"
"4_XhfsiOoP","[""3red applee03501.png""]",0,"[]","[7,405.242,140.611,391.181,141.174,388.931,142.299,381.619,146.798,374.87,151.86,370.652,158.047,367.839,162.828,364.183,167.89,361.09,172.39,358.559,178.858,357.715,186.169,359.965,194.606,363.34,200.793,370.37,212.604,373.745,219.072,381.9,228.634,387.244,231.446,395.68,232.29,411.148,233.977,417.053,233.977,426.615,232.852,432.521,230.884,441.52,228.353,448.55,226.103,452.769,223.291,457.268,218.51,463.174,213.167,472.173,206.98,474.423,205.574,477.235,202.48,480.047,199.387,480.047,148.486,474.704,146.236,470.767,142.299,468.798,140.33,465.705,138.643,461.486,138.362,455.018,140.893,450.519,143.424,444.613,145.955,440.114,145.955,430.833,143.986,422.397,141.174,416.772,140.611,410.304,140.893,406.367,140.893]","{}"
"5_uHA3nujg","[""4red applee03601.png""]",0,"[]","[7,87.179,115.02,77.899,113.895,64.4,113.614,56.245,114.739,46.402,117.27,41.621,119.801,37.684,128.8,35.153,132.456,32.059,139.205,28.966,145.673,25.872,152.704,23.341,157.485,19.686,163.672,14.342,174.077,13.499,179.983,12.374,184.201,11.53,191.794,46.683,203.043,54.276,206.98,61.869,212.604,64.681,215.417,69.462,221.041,70.587,224.978,71.993,230.321,71.149,234.54,68.337,237.633,62.15,238.758,58.776,238.196,56.807,237.352,55.12,237.914,55.401,241.289,58.494,243.539,64.119,246.914,73.399,249.726,81.555,251.132,89.71,250.569,98.99,246.07,109.677,244.383,120.645,246.914,131.05,242.695,133.581,239.883,135.549,237.914,136.674,235.383,129.644,232.571,125.707,228.915,122.332,223.291,121.488,210.073,123.176,202.199,124.863,194.887,126.269,188.138,127.956,177.17,127.675,169.577,125.144,160.297,119.52,149.61,116.145,143.986,110.521,134.424,106.865,126.269,100.678,119.801,92.522,116.426]","{}"
"5_2gLCM1tn","[""4red applee03601.png""]",0,"[]","[7,129.925,41.621,123.457,43.027,118.957,45.839,113.614,49.495,101.24,57.932,98.709,61.869,95.616,66.931,92.803,74.243,91.116,83.523,92.522,92.803,94.772,103.771,95.897,108.833,101.803,116.707,105.459,119.52,110.239,124.863,114.458,129.644,122.894,135.549,125.988,136.674,132.175,139.205,142.861,139.486,146.236,139.768,152.141,139.486,155.516,135.549,159.734,133.3,165.078,130.206,168.734,128.8,173.796,126.55,178.576,125.425,184.201,124.863,189.825,125.425,193.481,118.957,194.606,115.864,197.137,108.833,197.137,101.521,194.887,93.366,192.075,81.273,191.513,75.368,190.107,67.775,183.92,57.088,177.17,53.151,170.983,49.214,163.672,46.402,157.766,43.871,142.58,41.059,138.08,40.496,129.925,40.496]","{}"
"5_JCACgKgn","[""4red applee03601.png""]",0,"[]","[7,185.326,127.394,179.701,128.519,166.765,131.05,163.39,133.581,158.61,137.799,152.985,142.299,147.079,146.236,143.424,151.017,138.643,158.047,134.706,165.921,131.893,172.108,128.8,179.42,126.55,186.451,124.582,194.887,122.613,206.136,122.894,214.01,123.176,224.697,126.269,229.197,133.862,233.977,138.643,235.665,147.642,236.79,155.797,240.164,163.672,244.383,169.296,245.507,181.107,247.757,187.857,249.163,194.606,248.038,199.387,245.507,202.48,243.258,207.824,238.477,212.323,233.977,215.979,229.478,219.354,225.541,222.447,222.728,226.103,219.916,230.04,215.417,233.977,208.948,242.976,199.668,246.632,193.2,249.163,186.451,250.569,171.265,248.32,163.953,245.789,160.578,237.352,156.36,230.603,153.548,223.853,147.923,220.76,143.705,217.666,141.174,211.761,139.486,205.011,136.955,202.48,134.706,197.137,131.05,194.044,129.362,188.7,128.238]","{}"
"5_k6edZPkO","[""4red applee03601.png""]",0,"[]","[7,296.69,146.236,291.909,148.486,285.441,148.767,281.785,148.486,280.941,147.642,273.63,149.61,267.162,154.11,262.1,158.891,258.444,164.515,255.631,170.14,255.069,176.045,253.944,182.232,253.663,189.263,253.663,196.856,253.663,206.98,253.944,213.729,254.225,221.322,255.069,229.759,257.881,238.477,262.381,246.07,271.38,252.819,280.098,257.038,288.534,260.412,298.096,262.381,304.564,262.662,313.001,262.662,322.562,261.256,326.5,261.256,330.437,259.287,337.467,255.35,341.686,251.132,345.06,245.226,345.341,239.602,346.185,233.696,350.122,230.321,354.903,225.822,357.997,218.51,357.715,207.824,354.341,201.074,350.122,193.2,344.779,182.514,336.905,172.671,329.312,164.797,322.844,158.61,318.063,154.391,312.72,151.017,304.564,147.642]","{}"
"5_q3YhrrFX","[""4red applee03601.png""]",0,"[]","[7,251.132,28.403,241.852,29.247,234.821,31.497,227.79,34.309,221.041,39.652,216.823,43.871,211.479,49.495,207.542,53.714,204.168,58.776,201.637,64.681,199.949,68.9,198.824,75.086,197.418,80.148,197.137,86.054,198.824,93.928,201.355,98.99,206.136,106.021,212.604,114.176,215.417,118.676,219.916,122.613,227.79,126.55,238.758,131.05,250.007,131.612,257.6,131.612,269.411,131.893,278.129,129.362,283.191,126.269,289.378,122.332,293.597,116.145,296.69,109.958,300.065,104.896,303.158,98.147,304.283,90.554,303.721,73.68,303.439,66.369,302.596,59.9,299.783,53.995,293.034,45.839,287.41,41.34,280.66,36.84,276.723,34.309,270.817,31.216,259.85,28.685,257.319,28.122]","{}"
"5_ynkMUQFJ","[""4red applee03601.png""]",0,"[]","[7,359.965,43.308]","{}"
"5_icUzoz7e","[""4red applee03601.png""]",0,"[]","[7,342.81,46.683,325.937,55.12,320.313,59.057,315.532,61.869,311.314,65.244,308.501,68.056,305.97,74.524,305.408,83.523,306.533,95.334,305.127,111.927,305.127,119.801,309.064,125.144,315.532,130.206,322.562,133.862,334.936,141.455,340.279,143.705,354.622,145.673,358.84,145.955,366.433,146.517,373.745,146.798,381.338,144.548,386.4,140.893,395.399,135.268,400.18,130.769,402.992,124.863,404.117,119.801,405.523,116.145,406.367,109.114,407.21,101.24,406.648,91.116,404.398,79.867,402.992,73.399,400.461,66.087,396.805,61.588,390.618,57.088,383.025,51.464,377.682,47.808,371.214,44.714,364.746,43.59,361.371,42.746,355.466,42.746,350.966,43.871,347.591,44.996,344.779,45.839]","{}"
"5_V83bbpBw","[""4red applee03601.png""]",0,"[]","[7,409.741,140.893,401.867,139.768,395.118,140.049,390.9,141.736,386.4,143.705,381.338,147.079,377.401,149.892,373.183,153.548,369.808,157.485,365.59,164.234,362.496,168.734,359.403,173.514,358.278,177.452,356.59,184.763,357.434,191.231,359.684,196.012,361.934,201.074,365.59,207.542,368.964,212.042,372.901,217.948,376.276,223.572,380.213,227.509,385.838,231.165,396.524,233.977,404.961,235.102,414.803,237.352,424.646,235.946,429.708,233.415,443.488,231.165,448.269,229.197,452.487,226.947,456.424,224.134,460.08,221.322,465.705,217.666,470.486,213.729,473.86,209.511,476.11,205.574,479.203,200.231,479.766,149.892,476.391,147.079,473.017,144.548,469.079,142.017,465.705,140.049,461.486,138.643,454.175,140.893,450.519,142.299,444.894,144.548,438.145,145.955,433.364,144.548,429.708,141.736,421.272,140.893,415.928,140.893,411.991,140.893]","{}"
"6_M5ZvMl9R","[""6red applee03801.png""]",0,"[]","[7,79.586,222.447,87.741,220.76,93.366,215.698,98.428,211.479,102.646,207.542,106.021,202.199,108.833,194.887,110.239,187.294,111.083,180.264,111.645,172.952,110.802,165.078,109.677,160.016,107.708,154.11,104.334,147.923,100.959,141.455,97.022,135.831,92.241,131.612,86.898,125.425,83.523,121.488,77.899,118.395,74.243,115.02,69.743,111.083,66.369,109.396,57.651,109.396,51.183,110.521,43.59,111.927,35.715,113.333,27.841,115.301,21.373,119.238,15.186,128.519,11.249,134.987,8.718,138.362,5.343,143.142,1.125,148.486,0.844,148.486,0.281,154.672,0.281,211.761,4.218,215.417,9.843,217.666,14.342,220.197,24.466,223.291,33.747,224.416,41.34,224.416,47.808,224.134,51.745,224.134,54.838,224.697,58.494,224.978,62.15,226.103,67.775,225.822,68.9,223.01,70.587,221.322,74.243,221.603]","{}"
"6_TakhishZ","[""6red applee03801.png""]",0,"[]","[7,200.512,133.581,199.387,132.175,193.481,129.362,190.107,127.956,181.951,127.956,174.358,128.519,165.921,131.05,157.766,136.393,153.548,140.893,148.204,146.798,143.705,153.548,137.237,161.703,129.644,180.545,129.644,186.169,129.644,192.919,126.55,207.261,125.425,214.292,123.738,223.572,128.238,230.884,138.924,237.633,143.986,238.758,150.735,241.008,169.859,245.226,176.045,247.757,188.982,246.914,195.45,245.789,202.48,245.507,210.917,238.758,215.417,232.571,228.072,218.51,233.696,211.761,239.602,204.73,244.664,198.262,252.257,180.545,252.257,171.827,251.132,165.921,247.195,160.578,241.57,156.922,230.884,153.266,224.697,149.048,221.041,142.861,212.886,139.768,206.417,137.799,201.918,134.143]","{}"
"6_DN6eGGwJ","[""6red applee03801.png""]",0,"[]","[7,150.454,141.455,139.205,141.736,129.925,141.736,121.207,137.799,114.458,131.612,106.021,126.55,99.834,119.801,89.71,100.115,88.585,91.96,88.866,83.242,91.679,76.493,95.334,68.337,99.553,58.776,106.302,54.276,109.114,52.87,113.333,50.058,116.707,47.527,122.894,44.433,127.956,42.746,134.987,41.902,142.017,41.621,148.767,41.34,155.516,43.027,160.297,44.996,170.983,50.339,174.639,51.464,175.483,52.307,180.826,57.369,185.888,60.744,191.794,66.65,195.731,80.148,196.012,93.647,196.012,99.272,193.2,115.583,192.075,119.238,188.7,122.613,186.732,123.457,183.638,124.019,178.295,125.707,176.045,126.831,171.265,128.519,165.078,129.644,161.984,131.893,159.734,134.987,154.672,140.049,151.579,141.455]","{}"
"6_a2ZTqz1Q","[""6red applee03801.png""]",0,"[]","[7,259.006,28.685,252.819,28.403,246.914,29.247,239.602,30.934,232.852,32.903,226.666,37.965,221.603,42.183,217.104,46.121,212.604,50.058,201.637,64.681,199.387,70.024,197.981,77.055,197.137,83.242,198.543,93.647,201.355,99.834,203.886,104.334,206.98,107.427,212.886,113.333,221.885,120.926,224.697,124.582,229.478,127.956,235.383,129.925,237.914,130.206,242.414,130.769,248.038,129.644,248.32,127.113,248.32,122.332,248.32,116.426,255.35,107.708,258.444,105.459,260.693,103.771,263.506,101.521,264.912,95.616,264.912,91.116,266.037,87.741,267.162,84.929,273.348,81.836,281.223,77.899,284.879,75.368,288.816,74.805,298.096,75.649,301.752,75.086,305.408,74.243,307.095,64.119,303.721,57.651,301.471,53.151,297.534,48.37,293.878,44.433,289.378,42.183,285.16,38.528,279.535,35.434,274.473,32.622,269.13,31.778,264.349,29.81,260.975,28.403]","{}"
"6_tYnMCvDo","[""6red applee03801.png""]",0,"[]","[7,282.91,161.141,279.817,161.984,276.161,166.765,274.473,170.983,273.63,173.233,271.099,174.639,269.13,178.295,266.88,182.232,265.193,184.201,262.662,187.294,258.444,192.075,254.788,196.856,251.694,203.605,250.851,208.948,250.569,215.698,250.288,223.01,250.851,228.634,254.225,235.946,256.756,242.414,264.349,251.132,268.849,253.944,275.317,255.631,280.66,256.756,285.722,258.162,294.44,258.444,297.815,258.444,303.721,257.319,305.689,256.756,305.127,260.131,303.439,264.068,303.439,264.068,302.877,265.755,303.721,266.037,307.376,257.319,308.22,256.475,311.032,256.475,313.845,256.475,315.532,256.475,324.812,255.631,330.718,253.944,335.499,252.257,339.436,251.132,345.904,247.195,349.56,243.258,352.653,235.383,357.434,221.041,358.84,216.541,359.403,206.699,357.715,199.668,353.497,190.669,351.81,185.045,344.217,185.326,335.499,182.514,322.281,181.107,313.845,177.452,308.22,174.077,301.752,170.421,292.472,165.359,287.691,161.984,284.035,160.859]","{}"
"6_lqBXrv7g","[""6red applee03801.png""]",0,"[]","[7,248.038,132.175,249.163,136.955,252.257,140.33,255.35,143.142,261.537,147.361,267.443,151.86,271.099,152.985,279.254,155.516,279.254,155.516,279.535,156.641,283.472,159.734,288.253,159.734,289.659,161.422,290.784,163.672,293.315,165.078,301.752,167.609,305.127,169.859,312.438,174.358,315.532,176.045,318.625,177.733,324.812,179.701,330.437,180.545,335.217,181.389,346.185,184.482,350.122,184.763,355.747,183.638,366.714,179.701,371.214,178.014,375.714,174.639,378.807,170.14,380.776,163.39,387.525,151.017,391.462,143.986,394.274,132.737,396.243,123.176,397.368,114.458,396.524,105.459,393.712,100.959,386.4,95.616,381.619,91.679,375.151,88.866,366.152,84.086,359.403,80.992,348.716,78.742,338.873,77.055,322.562,75.649,309.064,74.805,304.002,74.524,296.409,74.243,293.034,74.243,287.691,74.243,276.442,78.742,272.786,81.555,268.849,84.367,263.224,91.397,262.943,97.584,262.381,100.678,260.693,103.209,255.631,106.021,251.413,109.114,246.914,120.645,246.351,125.144,246.07,127.956]","{}"
"6_PugXqGAs","[""6red applee03801.png""]",0,"[]","[7,365.308,43.308,358.559,43.027,350.403,44.996,341.967,47.245,333.811,50.058,323.687,55.401,319.75,58.776,315.813,61.588,312.157,65.244,309.064,68.056,305.97,70.587,305.689,73.118,313.282,75.649,316.938,75.649,326.218,76.211,331.28,75.93,337.467,75.93,345.623,76.211,348.716,77.055,360.528,80.148,364.746,80.992,370.089,81.836,381.057,88.866,390.9,99.834,392.868,101.521,398.493,115.864,398.493,121.769,396.243,129.925,395.962,131.05,406.367,120.363,408.898,113.333,410.023,104.052,409.46,95.053,408.335,84.086,407.492,77.899,405.523,70.587,403.836,67.212,400.18,61.588,395.118,55.963,390.9,51.745,382.744,49.214,377.682,46.964,374.307,45.839,369.808,44.152,365.027,42.183]","{}"
"6_EPxAMg77","[""6red applee03801.png""]",0,"[]","[7,360.809,184.763,359.965,187.857,361.09,196.293,362.215,206.417,364.465,214.01,368.402,219.354,375.432,225.541,382.744,230.321,391.181,232.571,401.586,234.259,411.148,235.383,419.584,234.54,440.395,229.478,445.176,228.072,452.769,225.541,460.924,220.76,466.548,216.541,470.767,211.761,475.266,208.105,479.485,204.449,479.766,148.204,474.704,146.798,469.923,143.424,465.986,138.924,464.017,138.08,456.706,138.924,449.675,142.017,440.114,143.986,428.302,143.142,419.022,141.174,409.46,140.049,402.148,139.486,397.649,139.486,394.274,139.768,389.493,143.424,387.525,147.079,386.681,151.579,385.275,154.672,383.307,160.859,381.619,165.921,379.369,170.14,374.026,175.764,370.089,178.014,366.714,179.42,365.027,180.545,362.496,181.951]","{}"
"7_gt0xEvGk","[""11red applee04901.png""]",0,"[]","[7,42.746,111.645,36.84,113.052,29.528,114.176,23.06,116.426,15.186,121.488,13.78,124.582,11.249,129.362,8.155,135.268,5.062,139.486,2.531,143.705,1.406,145.955,0.281,149.329,0.281,213.448,4.781,218.229,10.405,222.447,16.873,225.822,22.779,227.509,30.091,229.478,36.84,230.321,45.839,229.759,52.307,229.197,59.057,227.79,63.556,227.228,67.493,226.103,70.024,225.822,72.555,226.103,75.649,223.572,75.649,220.479,81.273,217.385,91.397,214.573,100.397,210.917,111.083,204.168,113.614,202.199,115.583,192.919,113.895,188.138,108.833,183.357,102.928,181.951,91.397,182.795,78.461,181.389,68.337,178.014,60.182,168.171,49.214,156.079,44.152,147.079,42.183,137.237,41.34,128.519,43.871,119.801,45.839,114.176,43.871,111.364,42.465,110.521]","{}"
"7_x4c8X9QI","[""11red applee04901.png""]",0,"[]","[7,136.955,70.587,127.956,69.743,122.332,69.743,113.614,71.431,107.146,73.118,99.553,76.211,93.647,78.742,88.585,80.992,82.398,83.804,70.024,88.866,66.65,91.116,61.307,95.053,56.807,98.147,51.464,102.928,49.214,105.74,46.964,110.521,45.558,113.614,44.433,118.676,43.027,122.332,41.902,129.644,41.621,132.456,42.465,138.08,43.308,144.267,44.714,149.048,46.402,152.704,48.933,156.641,52.589,161.422,58.213,166.765,62.431,171.265,66.369,174.358,70.024,177.17,75.649,179.701,82.961,181.107,88.866,181.389,100.115,182.232,104.052,182.232,108.552,182.795,111.083,183.357,116.426,183.92,123.176,184.201,128.519,184.482,133.862,182.514,137.518,180.545,142.861,176.889,147.923,171.827,152.423,165.921,156.641,160.578,161.422,155.797,174.921,142.017,178.014,139.486,181.67,135.831,185.045,128.519,186.451,121.488,188.138,115.864,188.7,111.083,187.576,105.74,183.076,102.084,177.17,97.584,173.796,92.522,170.702,88.304,167.328,83.523,163.672,79.024,158.891,76.774,151.298,74.243,145.392,72.274,139.205,70.306]","{}"
